LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price
C131223,16-213/BHC-AN1P2/3T,Everlight Elec,,402,blue 0402  Light Emitting Diodes (LED) ROHS,YES,10,1\10,0.0378,0.38
C138139,RC0201FR-0747KL,YAGEO,,201,50mW Thick Film Resistors ±1% 47kΩ 0201  Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.001,0.1
C843835,CRCW0201100KFKED,Vishay Intertech,,201,50mW Thick Film Resistors ±1% 100kΩ 0201  Chip Resistor - Surface Mount ROHS,YES,50,50\50,0.0086,0.43
C161411,GRM0335C1H1R0WA01D,Murata Electronics,,201,50V 1pF C0G 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,50,50\50,0.0103,0.52
C161477,GRM033R61E102KA01D,Murata Electronics,,201,25V 1nF X5R ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,100,1\100,0.0026,0.26
C2889502,0805 ±1% 680Ω,VO,,805,125mW Thick Film Resistors ±1% 680Ω 0805  Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.0019,0.19
C171936,WR02X100JAL,Walsin Tech Corp,,201,50mW Thick Film Resistors ±5% 10Ω 0201  Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.0011,0.11
C2979784,MMB02070C1001FB200,Vishay Intertech,,MELF,1W Thin Film Resistor ±1% 1kΩ MELF  Chip Resistor - Surface Mount ROHS,YES,5,5\5,0.0684,0.34
C161372,GRM0335C1E120JA01D,Murata Electronics,,201,25V 12pF C0G ±5% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,100,100\100,0.0025,0.25
C86044,GRM21BR72A104KAC4L,Murata Electronics,,805,100V 100nF X7R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,20,20\20,0.0288,0.58
C2969937,LD56100DPU33R,STMicroelectronics,,DFN-8(1.2x1.6),1A null 12V~12V positive 5.5V DFN-8(1.2x1.6)  Linear Voltage Regulators (LDO) ROHS,YES,4,1\1,0.856,3.42
C226534,AC0201FR-073K3L,YAGEO,,201,50mW Thick Film Resistors ±1% 3.3kΩ 0201  Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.0017,0.17
C318540,CL03A105MO3NRNC,Samsung Electro-Mechanics,,201,16V 1uF X5R ±20% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,10,10\10,0.0461,0.46
C880757,0201B103K250CT,Walsin Tech Corp,,201,25V 10nF X7R ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,50,50\50,0.0147,0.74
C1952739,F980J476MMA,Kyocera AVX,,603,47uF 6.3V 10Ω@100kHz ±20% 0603  Tantalum Capacitors ROHS,YES,20,1\1,0.3023,6.05
C207019,0805L010/24YR,Littelfuse,,805,24V 100mA 100A 300mA 0805  Resettable Fuses ROHS,YES,10,5\5,0.0695,0.7
